location,iso_code,vaccines,last_observation_date,source_name,source_website
Palestine,PSE,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-06-05,Ministry of Health,https://www.facebook.com/mohps/posts/3869372203188629
Panama,PAN,"Oxford/AstraZeneca, Pfizer/BioNTech",2021-06-09,Ministry of Health,https://twitter.com/MINSAPma/status/1402776839018459139
Papua New Guinea,PNG,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-06-07,World Health Organization,https://covid19.who.int/
Paraguay,PRY,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",2021-06-10,Government of Paraguay,https://www.vacunate.gov.py/index-listado-vacunados.html
Peru,PER,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",2021-06-10,Ministry of Health,https://www.datosabiertos.gob.pe/dataset/vacunaci%C3%B3n-contra-covid-19-ministerio-de-salud-minsa
Philippines,PHL,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",2021-06-08,Government of the Philippines,https://news.abs-cbn.com/spotlight/multimedia/infographic/03/23/21/philippines-covid-19-vaccine-tracker
Poland,POL,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-06-10,Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
Portugal,PRT,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-06-11,Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
Qatar,QAT,"Moderna, Pfizer/BioNTech",2021-06-11,Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
Romania,ROU,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-06-10,Government of Romania via datelazi.ro,https://datelazi.ro/
Russia,RUS,"EpiVacCorona, Sputnik V",2021-06-11,Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
Rwanda,RWA,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-05-08,World Health Organization,https://covid19.who.int/region/afro/country/rw
Saint Helena,SHN,Oxford/AstraZeneca,2021-05-05,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
Saint Kitts and Nevis,KNA,Oxford/AstraZeneca,2021-06-10,Government of Saint Kitts and Nevis,https://www.facebook.com/StKittsHPU/photos/a.158729094910938/930957591021414/
Saint Lucia,LCA,Oxford/AstraZeneca,2021-06-11,Ministry of Health,https://www.covid19response.lc/
Saint Vincent and the Grenadines,VCT,Oxford/AstraZeneca,2021-06-10,Ministry of Health,https://www.facebook.com/SVGHEALTH/posts/4568334713226916
Samoa,WSM,Oxford/AstraZeneca,2021-06-08,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
